,t,vb,vg,qe,dcr,dt,ap,bif
0,-50.0,72.56091101304972,0.0,0.05,116.52857280707141,9.565000000001529e-06,0.0198443329723125,0.018095913854588034
1,-50.0,71.9247654925844,100.0,0.05,61.65486827554715,9.440000000001507e-06,0.008283228721185143,0.018417364660723603
2,-50.0,71.66692622948118,200.0,0.05,68.58850954576297,9.410000000001504e-06,0.018203401567860635,0.0262158724355767
3,-50.0,71.3513447365411,300.0,0.05,77.43010820377577,8.735000000001396e-06,0.027004875543416806,0.017266823944973954
4,-50.0,70.67098672230667,400.0,0.05,46.85967409615982,9.315000000001489e-06,0.023352714226969253,0.021194791491661483
5,-50.0,70.40312136992954,500.0,0.05,131.8043656420581,1.0170000000001625e-05,0.0012974159466908313,0.01244753728846246
6,-50.0,69.69118097107189,600.0,0.05,236.08741822964237,1.1450000000001832e-05,0.0054203403021615216,0.005799876232903927
7,-45.0,73.10914197242481,0.0,0.05,181.70850139906457,9.93500000000159e-06,0.012177507239996676,0.013383535226256358
8,-45.0,72.59141369039881,100.0,0.05,121.04262826255405,1.0290000000001645e-05,0.005624219402978961,0.021057852987309708
9,-45.0,72.37808588510372,200.0,0.05,217.17270551977145,9.300000000001486e-06,0.024250546810975958,0.016745070520591977
10,-45.0,71.84550626453411,300.0,0.05,149.3837743268729,9.355000000001494e-06,0.010015520454848397,0.021751097884383785
11,-45.0,71.3974298791856,400.0,0.05,145.48255693818913,9.13000000000146e-06,0.023141539687208838,0.011555975063231754
12,-45.0,70.76347493304907,500.0,0.05,79.4629014925441,1.0190000000001629e-05,3.0359180650806006e-05,0.011937265807911076
13,-45.0,70.17126915342462,600.0,0.05,115.64679677935227,1.095500000000175e-05,0.0040451043607396715,0.0035048464444792067
14,-45.0,69.81384032696972,700.0,0.05,493.79059056328083,1.176000000000188e-05,0.007218755739300459,0.006364052191177713
15,-40.0,73.42850510204461,0.0,0.05,153.26640861556078,1.182500000000189e-05,0.0012790944914688033,0.010601989034209511
16,-40.0,73.10683265411093,100.0,0.05,217.786104267305,1.0030000000001603e-05,0.001175450335326412,0.009557554882592505
17,-40.0,72.58520015771029,200.0,0.05,137.26306433097636,1.1295000000001805e-05,0.06569601202336471,0.008012026874584164
18,-40.0,72.12080455706202,300.0,0.05,110.84566921375654,1.0235000000001636e-05,0.00036775718957705113,0.005228392371352488
19,-40.0,71.63891177566768,400.0,0.05,79.19177872670303,1.0130000000001619e-05,8.346026824794071e-05,0.005866688153341055
20,-40.0,71.26612311967638,500.0,0.05,94.51796118668699,1.0135000000001622e-05,0.000357776999392172,0.005543733382752532
21,-40.0,70.80023524449659,600.0,0.05,133.87774029021878,1.0380000000001659e-05,0.0020606936043634527,0.004552786680396586
22,-40.0,70.32172238369654,700.0,0.05,242.85735293468076,1.1225000000001796e-05,0.0055851677394402515,0.005124925415576683
23,-50.0,72.62056370992039,0.0,0.06,131.8621479726426,9.565000000001529e-06,0.030506736279486517,0.018698316513637937
24,-50.0,71.98398859266884,100.0,0.06,71.95453785544896,9.440000000001507e-06,0.011036112033634912,0.01868937332720435
25,-50.0,71.71854500435715,200.0,0.06,77.27056648209077,9.410000000001504e-06,0.02378141758669579,0.02633530169943083
26,-50.0,71.42257686358694,300.0,0.06,86.42860833589401,8.735000000001396e-06,0.034560484927411095,0.01773365115253663
27,-50.0,70.73421276024627,400.0,0.06,54.915999012011326,9.315000000001489e-06,0.030408891909703667,0.021195024573200175
28,-50.0,70.47954697666302,500.0,0.06,161.14903677631276,1.0170000000001625e-05,0.0023932717492025344,0.012877069861932228
29,-50.0,69.73274455125723,600.0,0.06,256.1647408615401,1.1450000000001832e-05,0.005709420774521473,0.006116839011204043
30,-45.0,73.16471989222947,0.0,0.06,210.97215034553503,9.93500000000159e-06,0.01731892908319884,0.01374624864431949
31,-45.0,72.65499389957394,100.0,0.06,146.83881394270938,1.0290000000001645e-05,0.008140608663534978,0.020921668232037834
32,-45.0,72.44841594675148,200.0,0.06,243.51642089493876,9.300000000001486e-06,0.03703379374390371,0.017117312190584072
33,-45.0,71.91364399802751,300.0,0.06,166.48622882607143,9.355000000001494e-06,0.014055477226355688,0.02172033872370365
34,-45.0,71.46520536304017,400.0,0.06,173.15375560364586,9.13000000000146e-06,0.03367160228174697,0.01194949928624923
35,-45.0,70.84957344769127,500.0,0.06,95.42818897586665,1.0190000000001629e-05,6.860919844673582e-05,0.012391547821291175
36,-45.0,70.25856710983794,600.0,0.06,144.28176475180777,1.095500000000175e-05,0.004515149053584982,0.0040986631312677525
37,-45.0,69.91029614140257,700.0,0.06,605.5498601095118,1.176000000000188e-05,0.008325171305776884,0.006795936927732073
38,-40.0,73.52956906757645,0.0,0.06,229.5778193951196,1.182500000000189e-05,0.002586629157848566,0.01125136070045062
39,-40.0,73.16741062631073,100.0,0.06,246.58552316447214,1.0030000000001603e-05,0.0020030252925058055,0.009968296920973911
40,-40.0,72.64229409515131,200.0,0.06,156.28116979363543,1.1295000000001805e-05,0.0753281957775483,0.00849408954851525
41,-40.0,72.18265245880792,300.0,0.06,132.1276016965461,1.0235000000001636e-05,0.0005135526885495444,0.005725457806539745
42,-40.0,71.70217649569143,400.0,0.06,104.90914459001097,1.0130000000001619e-05,0.00014780727268047072,0.006282258042313772
43,-40.0,71.33987472014692,500.0,0.06,125.04485241709548,1.0135000000001622e-05,0.0006205059682029805,0.006049656846580716
44,-40.0,70.86445674706076,600.0,0.06,148.89495892405995,1.0380000000001659e-05,0.0031212320610526758,0.0050195132329729705
45,-40.0,70.43662104732918,700.0,0.06,273.44956678114386,1.1225000000001796e-05,0.006525579948556691,0.005859772803155206
46,-50.0,72.67990076598802,0.0,0.07,147.0502251510959,9.565000000001529e-06,0.041287943490678075,0.019317425273032377
47,-50.0,72.04321169275326,100.0,0.07,82.25420743535076,9.440000000001507e-06,0.013788995346084684,0.018965399328195343
48,-50.0,71.77016377923314,200.0,0.07,85.95262341841855,9.410000000001504e-06,0.029359433605530942,0.026455275036311746
49,-50.0,71.49288287955756,300.0,0.07,108.27389738092029,8.735000000001396e-06,0.05244348126267967,0.018206783659826697
50,-50.0,70.79743879818587,400.0,0.07,62.97232392786283,9.315000000001489e-06,0.03746506959243808,0.021195257657302093
51,-50.0,70.5559725833965,500.0,0.07,190.49370791056745,1.0170000000001625e-05,0.0034891275517142375,0.013321424502401752
52,-50.0,69.77430813144255,600.0,0.07,276.2420634934378,1.1450000000001832e-05,0.005998501246881424,0.006451123780317876
53,-45.0,73.21303453116319,0.0,0.07,234.9536058056828,9.93500000000159e-06,0.024108904560966173,0.014069538000772566
54,-45.0,72.71595720765308,100.0,0.07,175.45112999988083,1.0290000000001645e-05,0.012078109102962722,0.02079191588681644
55,-45.0,72.51870367834752,200.0,0.07,268.4585478720127,9.300000000001486e-06,0.05127671499513983,0.01749759721555416
56,-45.0,71.9761876387862,300.0,0.07,187.0292354918352,9.355000000001494e-06,0.01894584304654793,0.021692143172441794
57,-45.0,71.53298084689473,400.0,0.07,200.8249542691026,9.13000000000146e-06,0.044201664876285095,0.012356424482637898
58,-45.0,70.91796434459368,500.0,0.07,114.56143488250169,1.0190000000001629e-05,0.00012895457559441566,0.012764687582542518
59,-45.0,70.32163302399577,600.0,0.07,190.418976081292,1.095500000000175e-05,0.0048920298089224915,0.004589311567154476
60,-45.0,69.96453549260555,700.0,0.07,700.9597735810646,1.176000000000188e-05,0.00903123102059222,0.00705154577705931
61,-40.0,73.61541525639223,0.0,0.07,313.73039380911507,1.182500000000189e-05,0.00444206662991691,0.011834099788443986
62,-40.0,73.22491858383057,100.0,0.07,270.24249895797385,1.0030000000001603e-05,0.0029106012135115726,0.010374544054898389
63,-40.0,72.69938803259232,200.0,0.07,175.2992752562945,1.1295000000001805e-05,0.0849603795317319,0.00900515667103771
64,-40.0,72.23703347186573,300.0,0.07,159.58569122835803,1.0235000000001636e-05,0.0008260229655764998,0.006201409809179068
65,-40.0,71.76551525737779,400.0,0.07,130.6347217338167,1.0130000000001619e-05,0.00021630884607511247,0.006727803898623164
66,-40.0,71.41342561412893,500.0,0.07,160.09399819798892,1.0135000000001622e-05,0.0010638461183636338,0.006600182263832173
67,-40.0,70.9267070809819,600.0,0.07,160.00207446554484,1.0380000000001659e-05,0.0042254102259923505,0.0055175336651791885
68,-40.0,70.4961161771434,700.0,0.07,341.3353103971216,1.1225000000001796e-05,0.00709132258383062,0.006280779345926963
69,-50.0,72.7403043791767,0.0,0.08,163.85252311797026,9.565000000001529e-06,0.05394102659505496,0.019968721319402576
70,-50.0,72.11432285522623,100.0,0.08,99.72471431876852,9.440000000001507e-06,0.020780413058932728,0.019302224597372113
71,-50.0,71.82178255410912,200.0,0.08,94.63468035474634,9.410000000001504e-06,0.034937449624366096,0.02657579492480333
72,-50.0,71.56312610149267,300.0,0.08,130.99025010374638,8.735000000001396e-06,0.07102671574468081,0.018692099721788747
73,-50.0,70.93545701810858,400.0,0.08,97.44688571795766,9.315000000001489e-06,0.0681921243266104,0.02119576647324109
74,-50.0,70.62277971559533,500.0,0.08,218.52782986814984,1.0170000000001625e-05,0.0065508665519067606,0.013722397580879153
75,-50.0,69.82863771243188,600.0,0.08,311.95596288937594,1.1450000000001832e-05,0.006397065803412117,0.006915781773694099
76,-45.0,73.26134917009689,0.0,0.08,258.93506126583054,9.93500000000159e-06,0.030898880038733506,0.014400430595803582
77,-45.0,72.77692051573223,100.0,0.08,204.06344605705226,1.0290000000001645e-05,0.016015609542390462,0.020662968241817955
78,-45.0,72.58080748101789,200.0,0.08,294.43707469315433,9.300000000001486e-06,0.06896528287927484,0.017840628127715166
79,-45.0,72.02347566231317,300.0,0.08,216.95495163490406,9.355000000001494e-06,0.02615535435688047,0.021670849368519044
80,-45.0,71.59230612385647,400.0,0.08,224.22041553906004,9.13000000000146e-06,0.05828680202605342,0.012723971991383256
81,-45.0,70.9658254739651,500.0,0.08,137.3675322666302,1.0190000000001629e-05,0.00021491675776189387,0.013032480326797833
82,-45.0,70.37865250388097,600.0,0.08,240.9233869627715,1.095500000000175e-05,0.005245664086774427,0.005083290109885714
83,-45.0,70.0098778816613,700.0,0.08,791.0537713791354,1.176000000000188e-05,0.009643047652183769,0.007272589526007206
84,-40.0,73.66062185478228,0.0,0.08,349.76722441207187,1.182500000000189e-05,0.006318974283200594,0.012153004488855097
85,-40.0,73.28381406631628,100.0,0.08,309.88803408303437,1.0030000000001603e-05,0.004646573912701416,0.01080775866756334
86,-40.0,72.78349277443597,200.0,0.08,240.71545318872853,1.1295000000001805e-05,0.10370394967535952,0.009814545832934701
87,-40.0,72.29024944303866,300.0,0.08,188.0074326840405,1.0235000000001636e-05,0.0011644991341729217,0.006705445965067013
88,-40.0,71.83181928267818,400.0,0.08,156.68914901988146,1.0130000000001619e-05,0.00045119501619429264,0.007228097551419059
89,-40.0,71.48809441745081,500.0,0.08,199.1460398970555,1.0135000000001622e-05,0.0019066474315591019,0.007210344684985552
90,-40.0,70.97992443578427,600.0,0.08,192.28612569769427,1.0380000000001659e-05,0.006033675466906488,0.00598228197304098
91,-40.0,70.54801987543745,700.0,0.08,407.55149390897583,1.1225000000001796e-05,0.007606780293780377,0.0066726973792490315
92,-50.0,72.81272301595618,0.0,0.09,198.83940817440583,9.565000000001529e-06,0.08768124377963034,0.02077857741792864
93,-50.0,72.18975526270339,100.0,0.09,119.80178094767149,9.440000000001507e-06,0.02931251461110251,0.019666058551625794
94,-50.0,71.8967319360897,200.0,0.09,122.24201468080977,9.410000000001504e-06,0.053510259689192874,0.026751765308591205
95,-50.0,71.63117599507274,300.0,0.09,152.74762872194833,8.735000000001396e-06,0.09147098229560845,0.01917459538039898
96,-50.0,71.041427963299,400.0,0.09,124.4110488463236,9.315000000001489e-06,0.10132365433734933,0.021196157152458203
97,-50.0,70.68868863011124,500.0,0.09,246.43956667613654,1.0170000000001625e-05,0.009796188826590906,0.014129804939388256
98,-50.0,69.9357221130334,600.0,0.09,415.5490442788905,1.1450000000001832e-05,0.007265163974009876,0.00793190609188884
99,-45.0,73.32334688952858,0.0,0.09,298.94026393311594,9.93500000000159e-06,0.046388155120074354,0.014836459792597935
100,-45.0,72.83005337210217,100.0,0.09,231.65366312327237,1.0290000000001645e-05,0.023290488859112328,0.020551235720101625
101,-45.0,72.62938138911588,200.0,0.09,322.1290060113783,9.300000000001486e-06,0.09235028778041426,0.01811360680437078
102,-45.0,72.07076368584015,300.0,0.09,246.8806677779729,9.355000000001494e-06,0.033364865667213,0.021649576467375788
103,-45.0,71.64275612578821,400.0,0.09,243.125058321083,9.13000000000146e-06,0.07610584354408781,0.013045122237534672
104,-45.0,71.01368660333651,500.0,0.09,160.1736296507587,1.0190000000001629e-05,0.0003008789399293721,0.01330589114461837
105,-45.0,70.46842385921599,600.0,0.09,313.84114352417294,1.095500000000175e-05,0.005899389247494602,0.00597095778371738
106,-45.0,70.04867499044163,700.0,0.09,848.8331390831053,1.176000000000188e-05,0.010228195379172265,0.0074672177531087125
107,-40.0,73.70582845317232,0.0,0.09,385.80405501502867,1.182500000000189e-05,0.008195881936484278,0.012480503016406517
108,-40.0,73.344080519082,100.0,0.09,365.3313675922624,1.0030000000001603e-05,0.007201059713194548,0.011269790156083257
109,-40.0,72.86886039707953,200.0,0.09,310.93886313701387,1.1295000000001805e-05,0.12467635213967027,0.010710516336746129
110,-40.0,72.34331626177077,300.0,0.09,217.89321385909506,1.0235000000001636e-05,0.001610231678074388,0.007248861199034912
111,-40.0,71.89812330797858,400.0,0.09,182.74357630594625,1.0130000000001619e-05,0.0006860811863134728,0.007765594092824577
112,-40.0,71.56407245743827,500.0,0.09,242.88606291755755,1.0135000000001622e-05,0.003217276664647316,0.007889135731115023
113,-40.0,71.03225010287392,600.0,0.09,226.6606515230142,1.0380000000001659e-05,0.007911444443639833,0.006477393478627934
114,-40.0,70.58680984463786,700.0,0.09,447.76308501724736,1.1225000000001796e-05,0.00803896350322341,0.00698148090279413
115,-50.0,72.88514165273564,0.0,0.1,233.82629323084143,9.565000000001529e-06,0.12142146096420572,0.02162127822843329
116,-50.0,72.26198809499722,100.0,0.1,138.3114129884978,9.440000000001507e-06,0.0405445435517378,0.020020886110300964
117,-50.0,71.97603486186286,200.0,0.1,153.38084836022605,9.410000000001504e-06,0.07450792756853508,0.02693922601737635
118,-50.0,71.68301074567208,300.0,0.1,167.41537017502088,8.735000000001396e-06,0.1256737456169268,0.019550460032750204
119,-50.0,71.08492967545097,400.0,0.1,132.3970847334778,9.315000000001489e-06,0.12485330641015674,0.021196317530717917
120,-50.0,70.74833904999666,500.0,0.1,271.94762281046275,1.0170000000001625e-05,0.013780708059294966,0.01450894381105786
121,-50.0,69.9861305874119,600.0,0.1,465.5303281965482,1.1450000000001832e-05,0.007730053270486163,0.00846064418655313
122,-45.0,73.40846291577576,0.0,0.1,366.018456803407,9.93500000000159e-06,0.07657536882314087,0.015456665280732824
123,-45.0,72.8806803719125,100.0,0.1,258.9167938915157,1.0290000000001645e-05,0.03163337715694467,0.0204453348960254
124,-45.0,72.67795529721386,200.0,0.1,349.82093732960226,9.300000000001486e-06,0.11573529268155368,0.018390762315909873
125,-45.0,72.11805170936712,300.0,0.1,276.80638392104174,9.355000000001494e-06,0.04057437697754554,0.021628324448493094
